,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
301,frozenset(['PC4Men Daytime Protect SPF 30 - 60 ml']),frozenset(['PC4Men Nighttime Repair - 50 ml']),0.0058044740103,0.00828278875628,0.00176090784582,0.303370786517,36.6266477926,0.00171283061375,1.4235940613
302,frozenset(['Resist 10% Niacinamide Booster - 20 ml']),frozenset(['Resist C15 Super Booster - 20 ml']),0.0488488880193,0.0560881758299,0.00586969281941,0.120160213618,2.14234483187,0.00312984779909,1.07282239196
303,frozenset(['Resist C15 Super Booster - 20 ml']),frozenset(['Resist 10% Niacinamide Booster - 20 ml']),0.0560881758299,0.0488488880193,0.00586969281941,0.104651162791,2.14234483187,0.00312984779909,1.06232461858
304,frozenset(['Resist 10% Niacinamide Booster - 20 ml']),frozenset(['Resist Weightless Advanced Repairing Toner - 118 ml']),0.0488488880193,0.035544250962,0.0028696276006,0.0587449933244,1.65272840852,0.00113333046563,1.02464873196
305,frozenset(['Resist Weightless Advanced Repairing Toner - 118 ml']),frozenset(['Resist 10% Niacinamide Booster - 20 ml']),0.035544250962,0.0488488880193,0.0028696276006,0.0807339449541,1.65272840852,0.00113333046563,1.03468534138
306,frozenset(['Clear Acne Ultra-Light Daily Mattifying Fluid SPF 30 - 60 ml']),frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),0.013695949912,0.0336529054979,0.00110871975478,0.0809523809524,2.40550941307,0.000647811246686,1.05146575049
307,frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),frozenset(['Clear Acne Ultra-Light Daily Mattifying Fluid SPF 30 - 60 ml']),0.0336529054979,0.013695949912,0.00110871975478,0.0329457364341,2.40550941307,0.000647811246686,1.01990559087
308,frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),frozenset(['Clear Acne Regular Strength Exfoliating Treatment 2% BHA (Salicylic Acid) - 118 ml']),0.0336529054979,0.0273918998239,0.00117393856388,0.0348837209302,1.27350498339,0.000252121547699,1.00776260982
309,frozenset(['Clear Acne Regular Strength Exfoliating Treatment 2% BHA (Salicylic Acid) - 118 ml']),frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),0.0273918998239,0.0336529054979,0.00117393856388,0.0428571428571,1.27350498339,0.000252121547699,1.00961636739
310,frozenset(['Resist C15 Super Booster - 20 ml']),frozenset(['Resist Anti-Aging Eye Cream']),0.0560881758299,0.0165003587035,0.0014348138003,0.0255813953488,1.55035389282,0.000509338780084,1.00931944095
